Experiment: Apr29_NP_tst_expt vial 5, Fri Apr 29 15:50:36 2022
10.5069,55099
10.5126,55099
10.5182,55095
10.5235,55091
10.5292,55092
10.5348,55099
10.5404,55088
10.5458,55082
10.5514,55071
10.557,55088
10.5627,55095
10.568,55086
10.5736,55061
10.5793,55092
10.5849,55096
10.5902,55100
10.5959,55083
10.6015,55084
10.6069,55095
10.6125,55102
10.6181,55103
10.6237,55093
10.6294,55097
10.6347,55096
10.6403,55098
10.646,55096
10.6514,54955
10.657,54909
10.6626,54863
10.668,55002
10.6736,54956
10.6792,54873
10.6849,54953
10.6902,55000
10.6959,54986
10.7015,54832
10.7071,54933
10.7125,55050
10.7181,55086
10.7238,55070
10.7291,55085
10.7347,55085
10.7404,55023
10.746,55023
10.7513,55062
10.757,55061
10.7626,54974
10.7682,55063
10.7738,55085
10.7792,55075
10.7848,55081
10.7904,55086
10.7958,55085
10.8014,55087
10.8071,55037
10.8124,55076
10.818,55087
10.8237,55084
10.8293,55077
10.8347,54948
10.8403,55057
10.8459,55055
10.8515,55049
10.8569,55028
10.8626,55048
10.8682,54922
10.8735,55058
10.8792,55046
10.8848,54969
10.8904,55025
10.8958,55072
10.9014,55021
10.907,55031
10.9126,54954
10.9183,55045
10.9236,55057
10.9292,55069
10.9348,55041
10.9405,55096
10.9458,55086
10.9514,55102
10.9571,55086
10.9624,55099
10.9681,55090
10.9737,55097
10.9793,55095
10.9846,55090
10.9903,55099
10.9959,55092
11.0015,55097
11.0069,55100
11.0125,55095
11.0181,55101
11.0238,55098
11.0291,55097
11.0348,55104
11.0404,55098
11.046,55096
11.0513,55082
11.057,55072
11.0626,55098
11.0682,55095
11.0736,55098
11.0792,55094
11.0848,55101
11.0902,55098
11.0958,55096
11.1015,55100
11.1071,55091
11.1124,55092
11.118,55102
11.1237,55098
11.1293,55098
11.1349,55094
11.1403,55100
11.1458,55102
11.1515,55099
11.1571,55099
11.1624,55097
11.168,55100
11.1736,55102
11.1793,55099
11.1849,55100
11.1902,55105
11.1959,55098
11.2014,55103
11.2071,55101
11.2124,55100
11.2181,55098
11.2237,55102
11.2293,55101
11.2349,55096
11.2402,55105
11.2459,55094
11.2515,55095
11.2571,55101
11.2627,55103
11.268,55104
11.2737,55102
11.2793,55102
11.2847,55103
11.2903,55106
11.2959,55100
11.3015,55102
11.3069,55100
11.3125,55096
11.3181,55099
11.3238,55100
11.3291,55101
11.3347,55098
11.3403,55098
11.346,55094
11.3516,55096
11.3569,55097
11.3625,55091
11.3682,55096
11.3738,55084
11.3791,55085
11.3848,55096
11.3904,55093
11.396,55092
11.4013,55072
11.4069,55102
11.4126,55096
11.4182,55091
11.4238,55096
11.4291,55088
11.4347,55088
11.4404,55097
11.446,55094
11.4513,55085
11.4569,55070
11.4626,55094
11.4682,55097
11.4735,55100
11.4792,55087
11.4847,55095
11.4904,55097
11.496,55093
11.5014,55100
11.507,55094
11.5125,55098
11.5182,55088
11.5238,55063
11.5291,55099
11.5348,55100
11.5404,55103
11.546,55091
11.5513,55102
11.5569,55097
11.5626,55048
11.5682,55103
11.5735,55104
11.5792,55100
11.5848,55100
11.5904,55104
11.5958,55103
11.6014,55103
11.607,55105
11.6127,55101
11.618,55101
11.6236,55059
11.6293,55100
11.6349,55082
11.6403,55095
11.6459,55090
11.6515,55100
11.6569,55090
11.6625,55099
11.6681,55106
11.6737,55087
11.6794,55101
11.6847,55102
11.6903,55107
11.6959,55100
11.7016,55105
11.7069,55103
11.7125,55045
11.7181,55104
11.7238,55105
11.7291,55102
11.7348,55104
11.7404,55100
11.746,55108
11.7514,55109
11.757,55107
11.7626,55101
11.7682,55112
11.7736,55108
11.7792,55102
11.7849,55105
11.7903,55113
11.7959,55104
11.8015,55102
11.8071,55108
11.8124,55109
11.8181,55116
11.8237,55082
11.8293,55103
11.8347,55106
11.8403,55088
11.846,55106
11.8516,55099
11.8569,55106
11.8626,55089
11.8682,55071
11.8738,55106
11.8791,55108
11.8848,55101
11.8904,55097
11.8958,55105
11.9014,55104
11.907,55101
11.9126,55092
11.918,55106
11.9236,55106
11.9293,55104
11.9349,55103
11.9402,55106
11.9459,55088
11.9515,55113
11.9571,55098
11.9625,55104
11.9681,55104
11.9737,55108
11.9793,55106
11.9847,55108
11.9903,55106
11.996,55106
12.0013,55118
12.0069,55072
12.0126,55107
12.0182,55084
12.0238,55104
12.0292,55106
12.0348,55107
12.0404,55106
12.0458,55106
12.0514,55104
12.057,55105
12.0627,55019
12.068,55113
12.0736,55081
12.0793,55097
12.0849,54914
12.0903,54858
12.0959,54921
