Experiment: Feb_25_Turb_expt vial 12, Thu Feb 25 15:27:00 2021
8.0233,56523
8.0289,56525
8.0343,56520
8.0399,56520
8.0455,56522
8.0511,56518
8.0565,56524
8.0621,56519
8.0677,56520
8.0731,56514
8.0787,56518
8.0844,56514
8.09,56519
8.0953,56507
8.101,56507
8.1066,56513
8.1122,56514
8.1176,56513
8.1232,56521
8.1288,56523
8.1344,56519
8.1398,56517
8.1454,56515
8.1511,56517
8.1564,56520
8.1621,56519
8.1677,56527
8.1733,56521
8.1787,56530
8.1843,56524
8.1899,56528
8.1956,56528
8.2009,56526
8.2066,56523
8.2122,56525
8.2175,56527
8.2232,56521
8.2288,56521
8.2344,56518
8.2398,56518
8.2454,56524
8.2511,56518
8.2564,56526
8.2621,56526
8.2677,56526
8.2733,56519
8.2787,56525
8.2843,56524
8.29,56523
8.2953,56526
8.301,56528
8.3066,56522
8.312,56524
8.3176,56515
8.3232,56527
8.3288,56523
8.3342,56526
8.3398,56524
8.3454,56515
8.3511,56516
8.3564,56516
8.3621,56514
8.3677,56514
8.3733,56513
8.3787,56519
8.3844,56515
8.39,56513
8.3954,56520
8.401,56512
8.4066,56523
8.4122,56519
8.4176,56517
8.4232,56520
8.4288,56520
8.4345,56518
8.4398,56521
8.4455,56524
8.4511,56527
8.4564,56526
8.4621,56523
8.4677,56522
8.4733,56522
8.4787,56530
8.4843,56519
8.4899,56523
8.4956,56524
8.5009,56525
8.5066,56526
8.5122,56523
8.5176,56532
8.5232,56529
8.5289,56525
8.5342,56530
8.5399,56532
8.5455,56533
8.5508,56527
8.5565,56531
8.5621,56526
8.5677,56526
8.5731,56535
8.5788,56530
8.5844,56528
8.59,56526
8.5954,56523
8.601,56529
8.6066,56527
8.612,56526
8.6176,56526
8.6233,56536
8.6289,56531
8.6342,56527
8.6399,56537
8.6455,56529
8.6511,56529
8.6565,56527
8.6621,56533
8.6677,56535
8.6733,56527
8.6787,56531
8.6843,56535
8.6899,56534
8.6956,56537
8.7009,56537
8.7066,56527
8.7122,56526
8.7175,56526
8.7232,56529
8.7288,56531
8.7344,56527
8.7401,56532
8.7454,56532
8.751,56533
8.7567,56532
8.762,56526
8.7677,56527
8.7733,56528
8.7786,56525
8.7843,56529
8.7899,56534
8.7955,56535
8.8009,56529
8.8066,56530
8.8122,56531
8.8175,56528
8.8232,56533
8.8288,56528
8.8344,56525
8.8398,56525
8.8454,56527
8.851,56519
8.8567,56515
8.862,56529
8.8677,56526
8.8733,56526
8.8786,56520
8.8843,56519
8.8899,56517
8.8955,56515
8.9009,56514
8.9065,56516
8.9121,56512
8.9178,56511
8.9231,56511
8.9288,56512
8.9344,56509
8.94,56515
8.9454,56512
8.951,56516
8.9566,56516
8.962,56513
8.9676,56515
8.9732,56515
8.9788,56521
8.9842,56512
8.9898,56521
8.9954,56516
9.0011,56512
9.0064,56511
9.0121,56514
9.0177,56516
9.0233,56513
9.0287,56503
9.0343,56509
9.0399,56515
9.0453,56514
9.0509,56516
9.0566,56519
9.0622,56524
9.0676,56521
9.0732,56522
9.0788,56525
9.0845,56521
9.0898,56525
9.0954,56524
9.1011,56526
9.1064,56510
9.1121,56517
9.1177,56518
9.1233,56518
9.1287,56520
9.1343,56514
9.14,56518
9.1456,56523
9.1509,56518
9.1566,56519
9.1622,56514
9.1675,56516
9.1732,56508
9.1788,56516
9.1842,56513
9.1898,56517
9.1954,56519
9.2011,56522
9.2064,56525
9.2121,56522
9.2177,56525
9.2231,56517
9.2287,56527
9.2343,56524
9.2399,56524
9.2453,56522
9.2509,56523
9.2565,56533
9.2621,56526
9.2678,56522
9.2731,56525
9.2787,56524
9.2844,56525
9.29,56532
9.2953,56528
9.301,56526
9.3066,56525
9.312,56528
9.3176,56525
9.3232,56524
9.3288,56531
9.3342,56529
9.3398,56537
9.3454,56530
9.3511,56533
9.3564,56536
9.3621,56530
9.3677,56533
9.3733,56531
9.3786,56532
9.3843,56532
9.3899,56530
9.3955,56531
9.4009,56529
9.4064,56529
9.412,56532
9.4177,56528
9.4233,56530
9.4287,56531
9.4342,56534
9.4399,56536
9.4455,56528
9.4509,56538
9.4565,56532
9.462,56531
9.4677,56522
9.4733,56525
9.4786,56527
9.4843,56522
9.4898,56529
9.4955,56526
9.5011,56530
9.5064,56527
9.5121,56528
9.5177,56524
9.5233,56534
9.5287,56534
9.5343,56539
9.5399,56535
9.5453,56536
9.5509,56530
9.5565,56530
9.5622,56540
9.5678,56530
9.5732,56526
9.5788,56537
9.5842,56530
9.5898,56531
9.5954,56532
9.601,56539
9.6064,56539
9.612,56537
9.6176,56533
9.6233,56539
9.6286,56538
9.6343,56532
9.6399,56541
9.6453,56535
9.6509,56536
9.6566,56535
9.6622,56527
9.6676,56538
9.6732,56540
9.6788,56539
9.6842,56539
9.6898,56536
9.6954,56538
9.7008,56537
