Experiment: Feb_8_Batch_expt_zeroed vial 8, Mon Feb  8 17:45:11 2021
6.2494,24106
6.255,24103
6.2604,24070
6.2661,24061
6.2717,24042
6.2771,24090
6.2825,24089
6.2882,24075
6.2938,24055
6.2994,24071
6.3048,24027
6.3105,24048
6.3161,24027
6.3215,24040
6.3271,24045
6.3328,24068
6.3382,24017
6.3438,24024
6.3492,24041
6.3549,24008
6.3605,24012
6.3659,23995
6.3715,24010
6.3772,23970
6.3828,23999
6.3881,24003
6.3938,23937
6.3992,23987
6.4049,23933
6.4105,23975
6.4162,23964
6.4215,23961
6.4272,23942
6.4328,23948
6.4382,23933
6.4439,23907
6.4492,23935
6.4549,23907
6.4605,23941
6.4659,23908
6.4716,23917
6.4772,23894
6.4826,23890
6.4882,23897
6.4938,23903
6.4992,23852
6.5049,23907
6.5105,23884
6.5162,23891
6.5215,23872
6.5271,23867
6.5328,23869
6.5382,23886
6.5438,23834
6.5494,23875
6.5549,23850
6.5605,23851
6.5661,23872
6.5715,23799
6.5771,23780
6.5828,23836
6.5882,23788
6.5938,23815
6.5992,23795
6.6048,23808
6.6105,23857
6.6162,23813
6.6215,23822
6.6272,23772
6.6326,23789
6.6382,23790
6.6439,23810
6.6492,23778
6.6549,23797
6.6606,23788
6.6659,23750
6.6716,23741
6.6772,23777
6.6826,23771
6.6882,23778
6.6938,23780
6.6995,23700
6.7049,23746
6.7106,23821
6.7159,23704
6.7216,23714
6.7272,23722
6.7326,23735
6.7382,23699
6.7438,23698
6.7495,23675
6.7548,23705
6.7605,23687
6.7659,23695
6.7716,23735
6.7772,23681
6.7826,23724
6.7882,23725
6.7938,23733
6.7992,23730
6.8049,23697
6.8105,23649
6.8159,23675
6.8216,23642
6.8272,23626
6.8326,23650
6.8382,23649
6.8438,23650
6.8495,23676
6.8549,23666
6.8605,23687
6.8662,23629
6.8716,23614
6.8772,23639
6.8828,23609
6.8882,23595
6.8938,23656
6.8992,23661
6.9049,23650
6.9105,23592
6.9161,23624
6.9215,23574
6.9272,23620
6.9328,23602
6.9381,23591
6.9438,23587
6.9494,23599
6.9548,23563
6.9605,23594
6.9661,23545
6.9715,23592
6.9771,23598
6.9826,23566
6.9882,23569
6.9939,23581
6.9993,23564
7.0049,23559
7.0106,23561
7.016,23604
7.0216,23546
7.0272,23496
7.0326,23501
7.0383,23524
7.0439,23564
7.0493,23497
7.0549,23541
7.0606,23567
7.0659,23545
7.0716,23521
7.0772,23540
7.0826,23506
7.0883,23498
7.0939,23546
7.0993,23550
7.1049,23524
7.1106,23517
7.1159,23507
7.1216,23452
7.1273,23518
7.1327,23502
7.1383,23508
7.1439,23504
7.1493,23459
7.1549,23476
7.1606,23483
7.1659,23500
7.1716,23449
7.1772,23460
7.1826,23489
7.1883,23407
7.1939,23494
7.1993,23478
7.2049,23456
7.2106,23468
7.2159,23503
7.2215,23420
7.2272,23401
7.2328,23505
7.2382,23394
7.2439,23422
7.2492,23455
7.2549,23393
7.2605,23412
7.2662,23401
7.2715,23395
7.2772,23425
7.2828,23380
7.2882,23417
7.2939,23458
7.2995,23452
7.3049,23430
7.3105,23396
7.3159,23369
7.3215,23415
7.3272,23390
7.3328,23439
7.3382,23410
7.3438,23433
7.3492,23361
7.3549,23342
7.3605,23390
7.3659,23322
7.3716,23418
7.3773,23334
7.3827,23379
7.3883,23353
7.3939,23332
7.3993,23398
7.405,23354
7.4105,23323
7.4161,23350
7.4215,23331
7.427,23400
7.4327,23354
7.4383,23318
7.4437,23336
7.4493,23319
7.4548,23285
7.4605,23323
7.4661,23299
7.4715,23339
7.4771,23325
7.4827,23338
7.4883,23388
7.4937,23328
7.4993,23294
7.505,23316
7.5104,23323
7.516,23330
7.5217,23308
7.5273,23301
7.5327,23267
7.5383,23309
7.5439,23298
7.5493,23228
7.5549,23327
7.5605,23277
7.566,23292
7.5716,23257
7.5773,23216
7.5826,23280
7.5882,23284
7.5939,23294
7.5993,23250
7.6049,23278
7.6106,23239
7.616,23243
7.6216,23227
7.6273,23237
7.6326,23251
7.6383,23258
7.6439,23228
7.6493,23222
7.6549,23264
7.6606,23227
7.6659,23191
7.6716,23213
7.6773,23187
7.6826,23176
7.6883,23172
7.6939,23234
7.6992,23175
7.7049,23178
7.7105,23239
7.7162,23208
7.7216,23158
7.7272,23157
7.7328,23148
7.7382,23212
7.7438,23163
7.7495,23176
7.7549,23153
7.7605,23142
7.7661,23092
7.7715,23142
7.7772,23137
7.7828,23122
7.7882,23158
7.7938,23141
7.7995,23144
7.8048,23131
7.8105,23107
