Experiment: Apr29_NP_tst_expt vial 7, Fri Apr 29 15:50:36 2022
9.396,1634
9.4013,1632
9.4069,1624
9.4125,1627
9.4182,1633
9.4238,1632
9.4292,1624
9.4348,1626
9.4404,1635
9.446,1633
9.4514,1623
9.457,1626
9.4626,1634
9.4682,1631
9.4736,1623
9.4792,1628
9.4848,1635
9.4905,1633
9.4958,1625
9.5015,1626
9.5071,1633
9.5125,1637
9.5181,1625
9.5237,1625
9.5291,1631
9.5348,1635
9.5404,1628
9.546,1623
9.5514,1629
9.557,1636
9.5626,1629
9.5682,1624
9.5736,1629
9.5792,1634
9.5848,1631
9.5905,1623
9.5958,1629
9.6014,1636
9.607,1629
9.6126,1624
9.618,1631
9.6236,1635
9.6292,1630
9.6348,1623
9.6404,1628
9.6458,1634
9.6514,1631
9.657,1625
9.6626,1631
9.668,1636
9.6736,1629
9.6792,1623
9.6848,1629
9.6904,1633
9.696,1627
9.7014,1626
9.707,1632
9.7126,1633
9.7182,1627
9.7236,1628
9.7292,1633
9.7348,1632
9.7404,1625
9.7458,1629
9.7514,1633
9.757,1630
9.7626,1624
9.7682,1629
9.7736,1634
9.7792,1627
9.7849,1624
9.7902,1631
9.7959,1636
9.8015,1628
9.8071,1625
9.8125,1630
9.8181,1634
9.8237,1627
9.8293,1624
9.8347,1632
9.8403,1634
9.8459,1627
9.8516,1625
9.8569,1632
9.8626,1633
9.8682,1626
9.8736,1625
9.8792,1632
9.8848,1632
9.8904,1625
9.8958,1625
9.9014,1633
9.907,1632
9.9127,1625
9.918,1629
9.9236,1633
9.9292,1629
9.9349,1624
9.9402,1631
9.9458,1634
9.9515,1626
9.9571,1628
9.9624,1633
9.968,1633
9.9737,1626
9.9793,1630
9.9849,1633
9.9902,1631
9.9959,1624
10.0015,1630
10.0071,1633
10.0125,1629
10.0181,1623
10.0237,1632
10.0291,1635
10.0347,1627
10.0403,1625
10.0459,1632
10.0516,1635
10.0569,1626
10.0625,1624
10.0682,1632
10.0738,1636
10.0791,1626
10.0848,1625
10.0904,1633
10.096,1632
10.1013,1625
10.107,1626
10.1126,1632
10.1182,1634
10.1235,1626
10.1292,1625
10.1348,1632
10.1404,1632
10.1458,1624
10.1514,1628
10.157,1632
10.1627,1630
10.168,1623
10.1736,1628
10.1793,1633
10.1849,1628
10.1902,1624
10.1959,1628
10.2015,1634
10.2071,1632
10.2124,1625
10.2181,1630
10.2237,1633
10.2293,1628
10.2346,1625
10.2403,1630
10.2459,1633
10.2515,1627
10.2569,1624
10.2625,1631
10.2681,1632
10.2737,1625
10.2793,1627
10.2847,1633
10.2903,1631
10.2957,1624
10.3014,1626
10.307,1631
10.3126,1629
10.3182,1624
10.3236,1631
10.3292,1633
10.3348,1626
10.3404,1626
10.3458,1633
10.3514,1632
10.357,1623
10.3626,1627
10.368,1635
10.3736,1629
10.3792,1625
10.3848,1629
10.3905,1634
10.3958,1627
10.4014,1626
10.407,1631
10.4124,1632
10.418,1626
10.4236,1626
10.4293,1634
10.4348,1632
10.4402,1626
10.4458,1626
10.4514,1632
10.4571,1631
10.4624,1625
10.468,1629
10.4736,1634
10.4793,1629
10.4847,1625
10.4903,1630
10.4959,1634
10.5016,1626
10.5069,1627
10.5126,1635
10.5182,1633
10.5235,1626
10.5292,1624
10.5348,1633
10.5404,1635
10.5458,1629
10.5514,1625
10.557,1631
10.5627,1635
10.568,1628
10.5736,1623
10.5793,1631
10.5849,1634
10.5902,1627
10.5959,1626
10.6015,1632
10.6069,1630
10.6125,1626
10.6181,1627
10.6237,1636
10.6294,1628
10.6347,1623
10.6403,1630
10.646,1633
10.6514,1627
10.657,1624
10.6626,1629
10.668,1633
10.6736,1627
10.6792,1624
10.6849,1634
10.6902,1636
10.6959,1625
10.7015,1624
10.7071,1632
10.7125,1635
10.7181,1627
10.7238,1626
10.7291,1632
10.7347,1634
10.7404,1626
10.746,1626
10.7513,1632
10.757,1632
10.7626,1625
10.7682,1626
10.7738,1633
10.7792,1632
10.7848,1627
10.7904,1628
10.7958,1634
10.8014,1631
10.8071,1625
10.8124,1628
10.818,1633
10.8237,1631
10.8293,1625
10.8347,1627
10.8403,1633
10.8459,1630
10.8515,1622
