Experiment: Feb_26_Turb_expt vial 3, Fri Feb 26 16:54:25 2021
4.9776,54996
4.9833,54989
4.9889,55000
4.9946,54994
4.9999,54995
5.0056,55002
5.0112,54995
5.0166,54998
5.0222,54995
5.0278,54997
5.0334,54994
5.0388,54997
5.0444,54998
5.05,54991
5.0556,54995
5.061,54991
5.0666,54999
5.0722,54991
5.0779,54996
5.0832,54993
5.0888,54997
5.0945,54996
5.1001,55000
5.1054,54993
5.111,54999
5.1167,54995
5.1223,54993
5.1276,54997
5.1333,54998
5.1389,54998
5.1445,55000
5.1499,54999
5.1555,54998
5.1611,54995
5.1668,54996
5.1721,54997
5.1778,54996
5.1834,54993
5.1888,54993
5.1944,54988
5.2001,54991
5.2054,54997
5.211,54992
5.2167,54992
5.2223,54999
5.2276,54990
5.2333,54990
5.2389,54991
5.2445,54993
5.2499,54993
5.2555,54992
5.2612,54992
5.2665,54989
5.2722,54994
5.2778,54992
5.2834,54989
5.2888,54993
5.2944,54993
5.3,54991
5.3056,54989
5.311,54990
5.3166,54995
5.3223,54986
5.3279,54989
5.3332,54993
5.3388,54989
5.3445,54997
5.3501,54993
5.3554,54984
5.3611,54988
5.3667,54993
5.372,54989
5.3777,54988
5.3833,54992
5.3889,54992
5.3943,54983
5.3999,54992
5.4055,54989
5.4111,54984
5.4168,54991
5.4221,54987
5.4278,54989
5.4334,54990
5.4387,54993
5.4444,54990
5.45,54985
5.4554,54991
5.461,54990
5.4667,54989
5.4723,54991
5.4777,54990
5.4832,54990
5.4888,54988
5.4945,54990
5.5001,54990
5.5054,54985
5.511,54991
5.5166,54987
5.5222,54989
5.5276,54994
5.5332,54991
5.5388,54993
5.5444,54986
5.5501,54990
5.5554,54994
5.561,54995
5.5666,54992
5.5722,54994
5.5776,54994
5.5832,54992
5.5889,54988
5.5944,54996
5.6,54990
5.6054,54993
5.611,54988
5.6167,54991
5.6222,54991
5.6278,54994
5.6332,54991
5.6388,54996
5.6444,54995
5.65,54995
5.6557,54989
5.661,54991
5.6666,54995
5.6723,54996
5.6776,54992
5.6833,54990
5.6889,54994
5.6942,54989
5.6999,54993
5.7055,54998
5.7111,54995
5.7168,54990
5.7221,54992
5.7277,54993
5.7333,54994
5.739,54996
5.7443,54991
5.75,54991
5.7556,54998
5.761,54993
5.7666,54993
5.7722,55000
5.7776,54988
5.7832,54993
5.7888,54994
5.7945,54993
5.7998,54994
5.8055,54994
5.8111,54997
5.8167,54997
