Experiment: Apr27_cal_tst_expt vial 7, Wed Apr 27 17:25:27 2022
9.3928,28628
9.3982,28638
9.4038,28644
9.4094,28624
9.415,28638
9.4204,28634
9.426,28639
9.4316,28635
9.437,28644
9.4426,28631
9.4482,28632
9.4539,28621
9.4592,28636
9.4648,28618
9.4704,28639
9.4761,28635
9.4814,28631
9.487,28629
9.4927,28629
9.4983,28628
9.5036,28635
9.5093,28625
9.5149,28627
9.5205,28633
9.5261,28628
9.5315,28631
9.5371,28631
9.5428,28636
9.5481,28639
9.5537,28641
9.5593,28635
9.565,28629
9.5703,28619
9.5759,28629
9.5816,28624
9.5872,28630
9.5928,28636
9.5982,28628
9.6038,28648
9.6094,28639
9.6148,28628
9.6204,28637
9.6261,28639
9.6317,28638
9.637,28632
9.6426,28623
9.6483,28631
9.6539,28622
9.6592,28622
9.6649,28622
9.6705,28633
9.6761,28643
9.6815,28637
9.6871,28626
9.6927,28616
