Experiment: April_27_Phage_Osmo_expt vial 11, Tue Apr 27 19:11:23 2021
6.8884,56227
6.894,56226
6.8996,56229
6.905,56232
6.9107,56225
6.9163,56227
6.9217,56228
6.9273,56233
6.9329,56229
6.9386,56228
6.9439,56229
6.9495,56225
6.9552,56232
6.9608,56229
6.9662,56228
6.9718,56233
6.9775,56232
6.9828,56228
6.9884,56230
6.9941,56234
6.9997,56227
7.0051,56225
7.0107,56228
7.0163,56221
7.0217,56225
7.0274,56226
7.033,56228
7.0384,56226
7.044,56227
7.0497,56224
7.055,56230
7.0607,56222
7.0663,56225
7.0717,56224
7.0773,56224
7.083,56229
7.0886,56225
7.094,56227
7.0994,56232
7.1051,56229
7.1107,56226
7.1164,56226
7.1217,56233
7.1273,56225
7.1329,56230
7.1385,56228
7.1439,56228
7.1495,56230
7.1551,56229
7.1607,56230
7.1663,56230
7.1717,56228
7.1774,56229
7.1829,56230
7.1885,56230
7.1939,56227
7.1996,56232
7.2052,56228
7.2106,56228
7.2163,56231
7.2219,56229
7.2273,56227
7.2329,56229
7.2385,56226
7.2439,56233
7.2495,56231
7.2551,56223
7.2608,56229
7.2661,56225
7.2718,56226
7.2774,56229
7.2828,56225
7.2884,56227
7.2941,56223
7.2994,56223
7.3051,56230
7.3107,56226
7.3164,56223
7.3217,56226
7.3273,56229
7.333,56225
7.3383,56228
7.344,56230
7.3496,56229
7.3552,56228
7.3606,56228
7.3662,56226
7.3719,56230
7.3772,56229
7.3829,56227
7.3885,56228
7.3939,56230
7.3995,56229
7.4051,56230
7.4108,56224
7.4161,56228
7.4218,56226
7.4274,56227
7.4328,56226
7.4384,56230
7.4441,56224
7.4495,56230
7.4551,56226
7.4608,56227
7.4661,56232
7.4718,56230
7.4774,56224
7.4828,56229
7.4885,56224
7.4941,56228
7.4995,56228
7.5051,56230
7.5107,56226
7.5161,56225
7.5217,56228
7.5274,56228
7.533,56227
7.5384,56225
7.544,56226
7.5497,56227
7.555,56220
7.5607,56224
7.5664,56229
7.5717,56227
7.5773,56225
7.583,56227
7.5884,56230
7.594,56229
7.5996,56227
7.605,56229
7.6106,56224
7.6163,56228
7.6216,56229
7.6273,56230
7.6329,56230
7.6386,56228
7.6439,56223
7.6496,56235
7.6552,56231
7.6606,56226
7.6662,56231
7.6719,56224
7.6775,56229
7.6829,56228
7.6885,56230
7.6939,56229
7.6995,56234
7.7052,56229
7.7108,56224
7.7162,56231
7.7218,56235
7.7275,56227
7.7328,56232
7.7385,56230
7.7441,56231
7.7495,56230
7.7551,56230
7.7607,56231
7.7661,56223
7.7717,56229
7.7774,56227
7.7828,56226
7.7884,56231
7.7941,56230
7.7997,56232
7.8051,56230
7.8107,56225
7.8164,56230
7.8217,56231
7.8273,56226
7.833,56228
7.8383,56230
7.844,56231
7.8496,56228
7.8552,56228
7.8606,56230
7.8662,56232
7.8718,56226
7.8772,56225
7.8829,56232
7.8885,56224
7.8941,56232
7.8995,56231
7.9051,56228
7.9108,56235
7.9161,56229
7.9218,56228
7.9274,56232
7.933,56236
7.9384,56229
7.944,56234
7.9497,56232
7.955,56229
7.9607,56236
7.9663,56233
7.9717,56229
7.9773,56230
7.983,56227
7.9886,56229
7.994,56229
7.9996,56233
8.005,56229
8.0107,56228
8.0163,56231
8.0217,56231
8.0273,56233
8.0329,56231
8.0386,56232
8.0439,56231
8.0496,56233
8.0552,56232
8.0606,56233
8.0662,56234
8.0719,56229
8.0772,56231
8.0829,56229
8.0885,56231
8.0941,56229
8.0995,56226
8.1051,56238
8.1108,56230
8.1162,56231
8.1218,56230
8.1274,56235
8.1328,56230
8.1384,56231
8.1441,56231
8.1497,56237
8.1551,56233
8.1607,56227
8.1664,56230
8.1717,56233
8.1774,56241
8.183,56239
8.1884,56238
8.194,56233
8.1996,56231
8.2053,56234
8.2106,56228
8.2162,56228
8.2219,56228
8.2272,56230
8.2329,56228
8.2385,56229
8.2441,56234
8.2495,56230
8.2552,56228
8.2605,56232
8.2662,56233
8.2718,56230
8.2774,56238
8.283,56227
8.2884,56234
8.294,56234
8.2997,56224
8.305,56232
8.3107,56233
8.3163,56229
8.3217,56226
8.3273,56230
8.333,56230
8.3386,56234
8.344,56233
8.3496,56232
8.3553,56231
8.3606,56230
8.3662,56234
8.3719,56230
8.3772,56228
8.3829,56229
8.3885,56233
8.3941,56229
8.3995,56232
8.4051,56232
8.4108,56229
8.4164,56229
8.4218,56236
8.4274,56231
8.433,56230
8.4384,56231
8.4441,56230
8.4497,56231
8.4551,56234
8.4607,56230
8.4663,56231
8.4717,56231
8.4773,56231
8.483,56231
8.4886,56237
8.494,56232
8.4996,56231
8.5052,56232
8.5106,56237
8.5162,56231
8.5219,56232
8.5275,56232
8.5328,56231
8.5385,56231
8.5441,56230
8.5497,56233
8.5551,56233
8.5607,56228
8.5664,56229
8.5717,56230
8.5774,56234
8.583,56233
8.5884,56231
8.594,56230
8.5997,56233
8.605,56229
8.6106,56229
8.6163,56229
8.6217,56229
8.6273,56229
8.633,56226
8.6386,56224
8.644,56231
8.6495,56233
8.6551,56225
8.6608,56227
8.6661,56230
8.6718,56226
8.6773,56229
8.683,56231
8.6886,56233
8.694,56228
8.6996,56231
8.7051,56228
8.7107,56234
8.7164,56231
8.7217,56234
8.7274,56230
8.7329,56231
8.7385,56228
8.7439,56227
8.7496,56231
8.7552,56231
8.7607,56227
8.7664,56234
8.7717,56230
8.7774,56230
8.783,56227
8.7885,56230
8.7939,56230
8.7995,56229
8.8052,56232
8.8108,56231
8.8162,56231
8.8218,56231
8.8274,56229
8.8328,56232
8.8384,56229
8.8441,56232
8.8497,56231
8.8551,56236
8.8607,56231
8.8661,56233
8.8717,56234
8.8774,56234
8.883,56233
8.8884,56237
8.894,56233
8.8997,56230
8.905,56231
8.9107,56232
8.9163,56232
8.9219,56234
8.9273,56235
8.9329,56236
8.9386,56238
8.9439,56231
8.9496,56230
8.9552,56237
8.9606,56235
8.9662,56230
8.9718,56231
8.9775,56238
8.9828,56233
8.9885,56236
8.9941,56233
8.9995,56237
9.0052,56227
9.0108,56233
9.0162,56232
9.0218,56233
9.0274,56237
9.0331,56231
9.0384,56233
9.0441,56235
9.0497,56234
9.0551,56234
9.0607,56234
9.0663,56234
9.0717,56231
9.0774,56233
9.083,56232
9.0884,56230
9.094,56231
9.0996,56235
9.1053,56230
9.1106,56232
9.1163,56234
9.1219,56236
9.1275,56233
9.1329,56234
9.1385,56234
9.1441,56235
9.1495,56232
9.1551,56231
9.1608,56230
9.1664,56237
9.1718,56234
9.1774,56234
9.183,56237
9.1884,56235
9.194,56234
9.1997,56239
9.205,56236
9.2107,56230
9.2163,56231
9.2219,56238
9.2273,56236
9.2329,56234
9.2386,56233
9.244,56236
9.2496,56233
9.2552,56230
9.2606,56233
9.2662,56236
9.2719,56235
9.2772,56229
9.2829,56230
9.2885,56236
9.2942,56230
9.2995,56230
9.3052,56233
9.3108,56229
9.3162,56233
9.3218,56232
9.3275,56230
9.3331,56229
9.3384,56235
9.3441,56239
9.3497,56232
9.3551,56229
9.3607,56236
9.3664,56232
9.3717,56231
9.3774,56231
9.383,56233
9.3884,56234
9.394,56231
9.3997,56231
9.4053,56237
9.4107,56233
9.4163,56227
9.4219,56234
9.4273,56231
9.4329,56233
9.4386,56232
9.4439,56223
9.4496,56227
9.4552,56233
9.4606,56229
9.4662,56230
9.4719,56234
9.4775,56233
9.4829,56230
9.4885,56236
9.4942,56236
9.4995,56233
9.5051,56232
9.5108,56233
9.5161,56235
9.5218,56230
9.5274,56232
9.5331,56230
9.5384,56236
9.544,56235
9.5497,56231
9.555,56231
9.5607,56232
9.5663,56235
9.5717,56231
9.5774,56233
9.583,56234
9.5883,56234
9.594,56236
9.5996,56232
9.6052,56232
9.6106,56236
9.6163,56236
9.6219,56233
9.6273,56230
9.6329,56233
9.6385,56235
9.6442,56229
9.6495,56234
9.6552,56234
9.6608,56226
9.6662,56231
9.6718,56231
9.6774,56233
9.6828,56229
9.6884,56232
9.694,56230
9.6997,56231
