Experiment: Mar_16_osmo_expt vial 10, Tue Mar 16 20:56:43 2021
9.273,32766
9.2787,32767
9.2841,32765
9.2898,32766
9.2955,32764
9.3009,32765
9.3066,32766
9.312,32765
9.3176,32766
9.3233,32766
9.3287,32762
9.3344,32763
9.3398,32763
9.3454,32763
9.3511,32766
9.3565,32767
9.3622,32767
9.3676,32768
9.3732,32764
9.3786,32768
9.3843,32767
9.3897,32765
9.3954,32762
9.401,32762
9.4064,32762
9.4121,32766
9.4175,32765
9.4232,32762
9.4286,32767
9.4343,32761
9.4397,32760
9.4454,32764
9.4508,32764
9.4565,32761
9.4622,32763
9.4676,32762
9.4733,32761
9.4787,32764
9.4844,32765
9.4898,32760
9.4955,32762
9.5009,32766
9.5066,32763
9.512,32766
9.5177,32766
9.5231,32763
9.5288,32763
9.5342,32768
9.5399,32767
9.5453,32764
9.551,32767
9.5564,32762
9.5621,32764
9.5677,32764
9.5731,32766
9.5788,32762
9.5842,32766
9.5899,32765
9.5953,32767
9.601,32765
9.6065,32755
9.6121,32765
9.6176,32764
9.6233,32760
9.6287,32759
9.6343,32767
9.6398,32765
9.6455,32765
9.6509,32767
9.6565,32766
9.662,32763
9.6676,32762
9.673,32765
9.6787,32763
9.6841,32766
9.6898,32766
9.6955,32761
9.7009,32762
