Experiment: Feb_23_T2_chemo_expt vial 5, Tue Feb 23 14:55:02 2021
8.6554,36918
8.6608,36687
8.6664,36675
8.6721,36633
8.6778,36863
8.6831,36608
8.6888,36696
8.6944,36585
8.6998,36939
8.7054,36630
8.711,36699
8.7167,36581
8.7221,36719
8.7278,36883
8.7331,36776
8.7388,36914
8.7442,36764
8.7498,36842
8.7555,36553
8.7609,36633
8.7665,36795
8.7722,36996
8.7776,36636
8.7832,36760
8.7889,36757
8.7943,36743
8.7999,36716
8.8056,36518
8.8109,36873
8.8166,36746
8.8222,36503
8.8276,36730
8.8333,36613
8.8386,36875
8.8443,36808
8.8499,36847
8.8553,36923
8.8609,36663
8.8666,36952
8.872,36783
8.8776,36728
8.8833,36687
8.8887,36735
8.8943,36853
8.8999,36662
8.9053,36919
8.911,36877
8.9166,36633
8.922,36674
8.9276,36811
8.9333,37099
8.9386,36523
8.9443,36812
8.9499,36774
8.9554,36510
8.961,36446
8.9666,36740
8.972,36744
8.9776,36662
8.9833,36718
8.9886,36713
8.9943,36815
9.0,36808
9.0054,36818
9.011,36864
9.0167,36636
9.022,36915
9.0277,36774
9.0333,36443
9.0387,36753
9.0443,36629
9.0497,36697
9.0554,36839
9.061,36838
9.0664,36452
9.072,36650
9.0777,36700
9.083,37129
9.0887,36592
9.0943,36796
9.0997,36593
9.1054,36666
9.111,36581
9.1166,36720
9.122,36500
9.1277,36850
9.1331,36563
9.1388,36813
9.1444,36739
9.1498,36636
9.1555,36961
9.1608,36897
9.1665,36690
9.1721,36710
9.1775,36500
9.1831,36943
9.1888,36428
9.1942,36908
9.1999,36785
9.2055,36789
9.2109,36728
9.2165,36930
9.2222,36686
9.2275,36685
9.2332,36807
9.2388,36840
9.2442,36396
9.2499,36729
9.2552,36874
9.2609,36578
9.2666,36527
9.272,36898
9.2776,36825
9.2832,36545
9.2889,36703
9.2943,36782
9.2999,36645
9.3053,36646
9.311,36663
9.3166,36849
9.322,36516
9.3277,36530
9.3333,36753
9.3387,36673
9.3443,36553
9.35,36962
9.3553,36894
9.361,36897
9.3666,36760
9.372,36883
9.3776,36768
9.3831,36606
9.3888,36642
9.3944,36587
9.3998,36528
9.4054,36772
9.4109,36670
9.4166,36681
9.4222,36791
9.4276,36614
9.4332,36636
9.4387,36967
9.4444,36807
9.4498,36857
9.4554,36709
9.4611,36570
9.4664,36752
9.4721,36817
9.4777,36722
9.4833,37124
9.4887,36508
9.4943,36672
9.5,36761
9.5053,36639
9.5109,36605
9.5166,36865
9.5221,36845
9.5278,36654
9.5331,36607
9.5388,36942
9.5445,36806
9.5498,36826
9.5555,36736
9.5611,36627
9.5665,36704
9.5721,36726
9.5775,36786
9.5831,36597
9.5888,36764
9.5944,36757
9.5998,36764
9.6054,36742
9.6111,36577
9.6164,36547
9.6221,36734
9.6278,36801
9.6332,36532
9.6388,36764
9.6442,36813
9.6498,36846
9.6555,36696
